RVCYZ000002	iEK1008.Rv2136c	40.9	281	156	2	1	281	1	271	4.23e-62	197
RVCYZ000006	iCN718.ABAYE_RS09345	25.7	113	79	3	52	163	54	162	9.89e-04	37.7
RVCYZ000007	iJN1463.PP_2416	30.8	195	80	9	1	165	21	190	4.74e-13	64.7
RVCYZ000007	iSynCJ816.SGL_RS13290	28.4	162	94	5	5	147	2	160	3.58e-12	61.6
RVCYZ000007	iCN900.CD630_32150	28.6	168	93	5	9	151	9	174	7.88e-12	61.2
RVCYZ000007	iEK1008.Rv1349	29.1	182	102	6	1	155	328	509	1.56e-11	61.2
RVCYZ000007	iYO844.BSU02860	29.2	209	99	10	4	165	2	208	1.21e-11	60.5
RVCYZ000007	iSbBS512_1146.SbBS512_E1746	33.1	130	67	4	36	147	47	174	2.09e-11	60.5
RVCYZ000007	iNF517.LLMG_RS12030	29.0	155	85	5	19	148	16	170	1.92e-11	60.1
RVCYZ000007	iML1515.b1483	33.1	130	67	4	36	147	47	174	3.91e-11	59.7
RVCYZ000007	iAF987.Gmet_0492	29.6	179	97	3	2	153	3	179	2.90e-11	59.7
RVCYZ000007	iAF987.Gmet_2439	31.2	202	87	9	9	166	10	203	3.86e-11	59.3
RVCYZ000008	iAF987.Gmet_1411	46.6	633	303	9	31	661	44	643	4.95e-192	557
RVCYZ000008	iLJ478.TM0740	43.4	641	325	10	11	646	9	616	2.68e-179	525
RVCYZ000008	iSynCJ816.SGL_RS15335	46.0	598	293	6	69	660	25	598	1.31e-175	514
RVCYZ000008	iCN900.CD630_05740	42.9	637	329	9	31	665	33	636	1.22e-171	505
RVCYZ000009	iEK1008.Rv2612c	36.7	215	106	7	6	211	9	202	6.63e-27	102
RVCYZ000010	iEK1008.Rv2611c	34.2	313	167	12	8	315	31	309	1.55e-31	120
RVCYZ000011	iEK1008.Rv2610c	38.9	378	210	8	14	384	1	364	2.91e-72	230
RVCYZ000017	iSynCJ816.SGL_RS09235	48.5	169	87	0	22	190	3	171	6.47e-48	154
RVCYZ000017	iMM1415.11821	44.9	178	97	1	14	190	1	178	3.05e-45	147
RVCYZ000017	iCHOv1.100765665	43.3	178	100	1	14	190	1	178	4.93e-44	144
RVCYZ000018	iEK1008.Rv0951	47.1	393	197	5	1	390	1	385	3.59e-110	328
RVCYZ000019	iEK1008.Rv0952	57.8	303	120	2	1	301	4	300	1.10e-115	335
RVCYZ000021	iEK1008.Rv0957	57.0	546	204	8	5	549	8	523	1.73e-204	579
