RCHGF000003	iHN637.CLJU_RS02400	37.3	67	41	1	11	76	9	75	1.37e-05	45.1
RCHGF000003	iSynCJ816.SGL_RS17655	34.5	119	71	4	11	126	8	122	1.43e-05	45.1
RCHGF000003	iAF987.Gmet_0662	37.7	69	38	2	11	75	9	76	3.48e-05	43.9
RCHGF000003	iAF692.Mbar_A0171	51.4	37	18	0	11	47	9	45	3.31e-05	43.9
RCHGF000003	iHN637.CLJU_RS11570	48.6	37	19	0	11	47	9	45	8.01e-05	42.7
RCHGF000005	iCN900.CD630_23720	49.2	295	150	0	6	300	8	302	2.02e-100	296
RCHGF000006	iCN900.CD630_23710	48.9	380	191	3	8	386	6	383	1.67e-116	346
RCHGF000007	iCN900.CD630_23700	56.9	267	114	1	14	280	2	267	2.25e-97	286
RCHGF000012	iNF517.LLMG_RS01005	55.5	483	210	4	1	483	1	478	3.35e-203	571
RCHGF000014	iCN900.CD630_36260	81.7	208	38	0	3	210	1	208	1.47e-124	350
RCHGF000015	iCN900.CD630_02870	42.4	158	91	0	2	159	3	160	1.26e-39	131
RCHGF000016	iCN900.CD630_02880	41.6	238	139	0	5	242	8	245	4.15e-63	197
RCHGF000017	iCN900.CD630_02890	40.4	267	156	3	13	279	20	283	4.40e-55	179
RCHGF000017	iCN900.CD630_04940	36.3	273	158	7	1	267	1	263	4.69e-49	163
RCHGF000018	iHN637.CLJU_RS05700	37.7	122	76	0	2	123	3	124	1.16e-25	97.8
RCHGF000021	iCN718.ABAYE_RS05795	53.8	52	24	0	1	52	1	52	8.04e-17	71.2
RCHGF000021	iAF987.Gmet_3171	55.8	52	23	0	1	52	1	52	1.37e-18	70.1
RCHGF000021	iJN1463.PP_5315	53.8	52	24	0	1	52	1	52	2.09e-18	69.7
RCHGF000021	iJN1463.PP_5371	51.9	52	25	0	1	52	1	52	6.47e-15	65.9
RCHGF000022	iYO844.BSU34790	48.8	303	155	0	2	304	4	306	9.48e-98	290
RCHGF000022	iNF517.LLMG_RS08000	48.7	300	152	2	2	300	3	301	5.81e-92	275
RCHGF000022	iYS854.USA300HOU_RS04135	46.5	303	162	0	2	304	3	305	5.44e-88	265
RCHGF000023	iSbBS512_1146.SbBS512_E3762	27.8	237	144	4	272	483	9	243	1.07e-19	88.2
RCHGF000023	iSSON_1240.SSON_3516	27.8	237	144	4	272	483	9	243	1.07e-19	88.2
RCHGF000023	iML1515.b3385	27.8	237	144	4	272	483	9	243	1.45e-19	87.8
RCHGF000023	iSF_1195.SF3403	27.8	237	144	4	272	483	9	243	1.45e-19	87.8
RCHGF000023	iSDY_1059.SDY_3694	27.8	237	144	4	272	483	9	243	1.97e-19	87.4
RCHGF000023	STM_v1_0.STM3002	27.0	278	173	10	4	256	8	280	2.31e-18	85.1
RCHGF000023	STM_v1_0.STM3482	28.3	237	143	5	272	483	9	243	5.67e-18	83.2
RCHGF000024	iYS854.USA300HOU_RS04115	43.0	300	168	3	14	312	7	304	1.08e-76	236
RCHGF000025	iCN900.CD630_31950	32.9	958	458	13	6	933	4	806	3.13e-161	492
RCHGF000029	iYS854.USA300HOU_RS04050	30.0	287	185	9	1	278	1	280	4.70e-27	106
RCHGF000029	iYS854.USA300HOU_RS07285	26.3	289	192	7	2	281	3	279	2.91e-24	98.6
