-e target_id	length	eff_length	Coculture_PT33_HGF2_Late_Replicate_3_HGF2_counts	tpm
RCHGF000001	708	468.165	4	112.207
RCHGF000002	762	522.114	1	25.1531
RCHGF000003	780	540.012	2	48.639
RCHGF000004	882	642.012	1	20.4557
RCHGF000005	903	662.947	3	59.4292
RCHGF000006	1215	974.947	1	13.4703
RCHGF000007	855	615.012	2	42.7075
RCHGF000008	561	322.811	0	0
RCHGF000009	522	284.369	0	0
RCHGF000010	447	213.015	0	0
RCHGF000011	714	474.165	0	0
RCHGF000012	1449	1208.95	10	108.63
RCHGF000013	144	18.5689	0	0
RCHGF000014	639	399.418	0	0
RCHGF000015	480	244.136	0	0
RCHGF000016	744	504.165	0	0
RCHGF000017	849	609.012	2	43.1283
RCHGF000018	387	159.191	0	0
RCHGF000020	519	281.425	0	0
RCHGF000021	156	21.792	0	0
RCHGF000022	918	677.947	2	38.7429
RCHGF000023	1470	1229.95	3	32.0326
RCHGF000024	948	707.947	2	37.1011
RCHGF000025	2820	2579.95	4	20.3614
RCHGF000026	528	290.285	0	0
RCHGF000027	480	244.136	1	53.7931
RCHGF000028	747	507.165	0	0
RCHGF000029	852	612.012	14	300.418
RCHGF000030	852	612.012	2	42.9169
RCHGF000031	2136	1895.95	1	6.92678
RCHGF000032	114	10.4645	0	0
RCHGF000033	1155	914.947	7	100.475
RCHGF000034	2412	2171.95	12	72.5588
RCHGF000035	642	402.418	1	32.6347
RCHGF000036	945	704.947	4	74.518
RCHGF000037	399	170.081	2	154.43
RCHGF000038	1875	1634.95	2	16.0651
RCHGF000039	699	459.165	2	57.2031
RCHGF000040	2544	2303.95	10	57.0014
RCHGF000041	1098	857.947	0	0
RCHGF000042	2586	2345.95	1	5.59809
RCHGF000043	3450	3209.95	8	32.7303
RCHGF000044	390	161.845	0	0
RCHGF000045	834	594.012	0	0
RCHGF000046	816	576.012	0	0
RCHGF000047	1971	1730.95	224	1699.5
RCHGF000048	813	573.012	437	10015.6
RCHGF000049	1026	785.947	5	83.5477
RCHGF000050	1857	1616.95	12	97.4638
RCHGF000051	1692	1451.95	11	99.4946
RCHGF000052	126	13.0817	0	0
RCHGF000053	165	24.4988	0	0
RCHGF000054	135	15.7487	4	3335.6
RCHGF000055	447	213.015	1	61.652
RCHGF000056	126	13.0817	0	0
RCHGF000057	408	177.967	0	0
RCHGF000058	639	399.418	0	0
RCHGF000059	933	692.947	0	0
RCHGF000060	675	435.254	0	0
RCHGF000061	744	504.165	0	0
RCHGF000062	1182	941.947	4	55.7688
RCHGF000063	1974	1733.95	3	22.7218
RCHGF000064	1479	1238.95	0	0
RCHGF000065	900	659.947	5	99.499
RCHGF000066	687	447.254	6	176.179
RCHGF000067	1395	1154.95	1	11.3709
RCHGF000068	894	654.012	2	40.1608
RCHGF000069	687	447.254	5	146.816
RCHGF000070	873	633.012	3	62.2397
RCHGF000071	363	139.038	2	188.91
RCHGF000072	117	11.1231	0	0
RCHGF000073	861	621.012	0	0
RCHGF000074	732	492.165	3	80.0513
RCHGF000075	207	40.1549	1	327.054
RCHGF000076	276	75.6611	10	1735.74
RCHGF000077	288	83.3176	12	1891.48
RCHGF000078	1566	1325.95	0	0
RCHGF000079	288	83.3176	0	0
RCHGF000080	459	224.23	0	0
RCHGF000081	450	215.866	0	0
RCHGF000082	411	180.53	0	0
RCHGF000083	369	144.043	1	91.1729
RCHGF000084	1497	1256.95	2	20.8964
RCHGF000085	726	486.165	0	0
RCHGF000086	585	346.31	2	75.8444
RCHGF000087	1785	1544.95	0	0
RCHGF000088	1746	1505.95	0	0
RCHGF000089	615	376.03	0	0
RCHGF000090	354	131.773	0	0
RCHGF000091	1878	1637.95	2	16.0357
RCHGF000092	1446	1205.95	21	228.691
RCHGF000093	513	275.534	21	1000.93
RCHGF000094	672	432.296	0	0
RCHGF000095	1434	1193.95	0	0
RCHGF000096	987	746.947	0	0
RCHGF000097	1050	809.947	2	32.4288
RCHGF000098	1203	962.947	0	0
RCHGF000099	1329	1088.95	2	24.1202
RCHGF000100	207	40.1549	0	0
RCHGF000101	765	525.114	2	50.0189
RCHGF000102	1164	923.947	1	14.2138
RCHGF000103	1707	1466.95	9	80.5723
RCHGF000104	1047	806.947	2	32.5494
RCHGF000105	2346	2105.95	1	6.23606
RCHGF000106	753	513.165	2	51.1836
RCHGF000107	195	34.935	2	751.844
RCHGF000108	195	34.935	0	0
RCHGF000109	666	426.296	0	0
RCHGF000110	1152	911.947	0	0
RCHGF000111	1008	767.947	8	136.81
RCHGF000112	996	755.947	0	0
RCHGF000113	828	588.012	0	0
RCHGF000114	798	558.012	0	0
RCHGF000115	474	238.59	0	0
RCHGF000116	417	186.048	0	0
RCHGF000117	819	579.012	0	0
RCHGF000118	2754	2513.95	0	0
RCHGF000119	981	740.947	2	35.4487
RCHGF000121	474	238.59	0	0
RCHGF000122	912	671.947	4	78.1777
RCHGF000123	1251	1010.95	3	38.9718
RCHGF000124	492	255.547	3	154.173
RCHGF000125	672	432.296	2	60.7584
RCHGF000126	375	149.062	0	0
RCHGF000127	1632	1391.95	0	0
RCHGF000128	333	115.122	0	0
RCHGF000129	1206	965.947	0	0
RCHGF000130	1470	1229.95	0	0
RCHGF000131	987	746.947	0	0
RCHGF000132	900	659.947	0	0
RCHGF000133	657	417.338	0	0
RCHGF000134	2331	2090.95	1	6.2808
RCHGF000135	1776	1535.95	5	42.7515
RCHGF000136	120	11.8577	0	0
RCHGF000137	597	358.172	3	109.999
RCHGF000138	1125	884.947	13	192.923
RCHGF000139	978	737.947	1	17.7964
RCHGF000140	489	252.622	5	259.93
RCHGF000141	1188	947.947	1	13.854
RCHGF000142	135	15.7487	0	0
RCHGF000143	174	27.5754	0	0
RCHGF000144	735	495.165	0	0
RCHGF000145	702	462.165	0	0
RCHGF000146	777	537.012	0	0
RCHGF000147	243	57.3365	0	0
RCHGF000148	399	170.081	38	2934.18
RCHGF000149	750	510.165	4	102.969
RCHGF000151	2724	2483.95	7	37.0095
RCHGF000152	729	489.165	0	0
RCHGF000153	444	210.184	0	0
RCHGF000154	765	525.114	0	0
RCHGF000155	1194	953.947	0	0
RCHGF000156	909	668.947	0	0
RCHGF000157	744	504.165	0	0
RCHGF000158	555	316.874	0	0
RCHGF000159	1041	800.947	0	0
RCHGF000160	927	686.947	0	0
RCHGF000161	1488	1247.95	0	0
RCHGF000162	1671	1430.95	0	0
RCHGF000163	1053	812.947	0	0
RCHGF000165	1038	797.947	3	49.3747
RCHGF000166	2400	2159.95	4	24.3206
RCHGF000167	120	11.8577	0	0
RCHGF000168	873	633.012	25	518.664
RCHGF000169	1836	1595.95	25	205.721
RCHGF000170	552	313.874	8	334.729
RCHGF000171	1230	989.947	2	26.5324
RCHGF000172	558	319.811	0	0
RCHGF000173	468	232.776	0	0
RCHGF000174	150	19.7917	0	0
RCHGF000175	1656	1415.95	16	148.399
RCHGF000176	873	633.012	2	41.4931
RCHGF000177	390	161.845	25	2028.61
RCHGF000178	876	636.012	43	887.894
RCHGF000179	996	755.947	15	260.59
RCHGF000180	120	11.8577	0	0
RCHGF000181	813	573.012	0	0
RCHGF000182	786	546.012	0	0
RCHGF000183	1230	989.947	1	13.2662
RCHGF000184	447	213.015	3	184.956
RCHGF000185	1398	1157.95	9	102.073
RCHGF000186	525	287.285	9	411.422
RCHGF000187	741	501.165	3	78.6138
RCHGF000188	456	221.584	1	59.2678
RCHGF000189	1380	1139.95	8	92.1644
RCHGF000190	1140	899.947	13	189.707
RCHGF000191	1401	1160.95	29	328.052
RCHGF000192	624	384.842	0	0
RCHGF000193	1539	1298.95	0	0
RCHGF000194	1209	968.947	1	13.5537
RCHGF000195	897	657.012	0	0
RCHGF000196	1458	1217.95	3	32.3482
RCHGF000197	969	728.947	1	18.0161
RCHGF000198	1287	1046.95	0	0
RCHGF000199	1242	1001.95	3	39.3219
RCHGF000200	1446	1205.95	4	43.5602
RCHGF000201	1185	944.947	1	13.8979
RCHGF000202	162	24.056	1	545.927
RCHGF000203	582	343.343	49	1874.24
RCHGF000204	1209	968.947	72	975.866
RCHGF000205	720	480.165	18	492.312
RCHGF000206	1503	1262.95	42	436.739
RCHGF000207	1101	860.947	3	45.7617
RCHGF000208	1332	1091.95	8	96.2157
RCHGF000209	2175	1934.95	14	95.0204
RCHGF000210	1710	1469.95	16	142.947
RCHGF000212	1578	1337.95	9	88.3408
RCHGF000213	1425	1184.95	3	33.2491
RCHGF000214	315	101.264	1	129.689
RCHGF000215	435	202.269	2	129.855
RCHGF000216	723	483.165	5	135.904
RCHGF000217	111	9.52419	0	0
RCHGF000218	651	411.378	6	191.544
RCHGF000219	1050	809.947	0	0
RCHGF000220	132	15.0021	0	0
RCHGF000221	726	486.165	0	0
RCHGF000222	1038	797.947	1	16.4582
RCHGF000223	1254	1013.95	2	25.9043
RCHGF000224	654	414.378	8	253.542
RCHGF000225	522	284.369	1	46.1823
RCHGF000226	1080	839.947	0	0
