-e target_id	length	eff_length	Monoculture_Clostridium_HGF2_Late_Replicate_2_HGF2_counts	tpm
RCHGF000001	708	437.261	1232	59.1895
RCHGF000002	762	491.084	1514	64.7657
RCHGF000003	780	509.084	2640	108.941
RCHGF000004	882	611.068	2145	73.7417
RCHGF000005	903	632.068	690	22.933
RCHGF000006	1215	944.054	809	18.0023
RCHGF000007	855	584.068	1095	39.3846
RCHGF000008	561	293.395	408	29.2135
RCHGF000009	522	257.325	412	33.6349
RCHGF000010	447	191.639	187	20.499
RCHGF000011	714	443.217	326	15.4517
RCHGF000012	1449	1178.05	1290	23.0038
RCHGF000013	144	20.8987	66	66.3438
RCHGF000014	639	368.914	69	3.92916
RCHGF000015	480	219.757	10	0.955942
RCHGF000016	744	473.108	42	1.86494
RCHGF000017	849	578.068	73	2.65289
RCHGF000018	387	144.639	8	1.16193
RCHGF000020	519	254.669	92	7.58903
RCHGF000021	156	24.0812	132	115.152
RCHGF000022	918	647.068	10183	330.599
RCHGF000023	1470	1199.05	3466	60.7247
RCHGF000024	948	677.068	5349	165.965
RCHGF000025	2820	2549.05	9860	81.2593
RCHGF000026	528	262.873	265	21.1776
RCHGF000027	480	219.757	108	10.3242
RCHGF000028	747	476.108	277	12.2222
RCHGF000029	852	581.068	3878	140.203
RCHGF000030	852	581.068	4589	165.908
RCHGF000031	2136	1865.05	4607	51.8922
RCHGF000032	114	16.0025	64	84.0173
RCHGF000033	1155	884.054	741	17.6082
RCHGF000034	2412	2141.05	35569	348.995
RCHGF000035	642	371.836	64	3.6158
RCHGF000036	945	674.068	3683	114.782
RCHGF000037	399	153.628	1203	164.502
RCHGF000038	1875	1604.05	845	11.0666
RCHGF000039	699	428.288	387	18.9824
RCHGF000040	2544	2273.05	8723	80.6179
RCHGF000041	1098	827.054	1176	29.8709
RCHGF000042	2586	2315.05	3171	28.7747
RCHGF000043	3450	3179.05	17108	113.052
RCHGF000044	390	146.848	406	58.081
RCHGF000045	834	563.073	2112	78.796
RCHGF000046	816	545.079	494	19.0389
RCHGF000047	1971	1700.05	19931	246.287
RCHGF000048	813	542.079	30284	1173.62
RCHGF000049	1026	755.054	2148	59.7629
RCHGF000050	1857	1586.05	2309	30.5831
RCHGF000051	1692	1421.05	3168	46.8328
RCHGF000052	126	18.1807	8	9.24389
RCHGF000053	165	26.3616	11	8.76591
RCHGF000054	135	19.1523	6532	7164.74
RCHGF000055	447	191.639	425	46.5887
RCHGF000056	126	18.1807	7	8.0884
RCHGF000057	408	160.549	316	41.3479
RCHGF000058	639	368.914	1280	72.8888
RCHGF000059	933	662.068	1001	31.7619
RCHGF000060	675	404.441	377	19.5822
RCHGF000061	744	473.108	139	6.17206
RCHGF000062	1182	911.054	4152	95.7389
RCHGF000063	1974	1703.05	6845	84.4346
RCHGF000064	1479	1208.05	1753	30.4839
RCHGF000065	900	629.068	1494	49.8917
RCHGF000066	687	416.368	1252	63.1688
RCHGF000067	1395	1124.05	1452	27.1366
RCHGF000068	894	623.068	845	28.4903
RCHGF000069	687	416.368	966	48.7389
RCHGF000070	873	602.068	1500	52.3385
RCHGF000071	363	127.443	57	9.39582
RCHGF000072	117	16.4558	8	10.2128
RCHGF000073	861	590.068	114	4.05862
RCHGF000074	732	461.159	89	4.05429
RCHGF000075	207	42.3069	28	13.9034
RCHGF000076	276	73.5352	4340	1239.85
RCHGF000077	288	80.305	4003	1047.17
RCHGF000078	1566	1295.05	636	10.3168
RCHGF000079	288	80.305	45	11.7719
RCHGF000080	459	201.723	80	8.33124
RCHGF000081	450	194.23	96	10.3832
RCHGF000082	411	162.874	190	24.5062
RCHGF000083	369	131.706	125	19.938
RCHGF000084	1497	1226.05	314	5.38016
RCHGF000085	726	455.159	134	6.18467
RCHGF000086	585	316.256	82	5.44692
RCHGF000087	1785	1514.05	341	4.73139
RCHGF000088	1746	1475.05	232	3.30412
RCHGF000089	615	345.243	447	27.1993
RCHGF000090	354	121.171	97	16.817
RCHGF000091	1878	1607.05	1409	18.4186
RCHGF000092	1446	1175.05	2978	53.2405
RCHGF000093	513	249.048	9350	788.686
RCHGF000094	672	401.473	97	5.07564
RCHGF000095	1434	1163.05	249	4.49754
RCHGF000096	987	716.054	139	4.07797
RCHGF000097	1050	779.054	99	2.66958
RCHGF000098	1203	932.054	120	2.70468
RCHGF000099	1329	1058.05	189	3.75257
RCHGF000100	207	42.3069	6	2.97931
RCHGF000101	765	494.084	600	25.5109
RCHGF000102	1164	893.054	470	11.0559
RCHGF000103	1707	1436.05	11942	174.695
RCHGF000104	1047	776.054	5474	148.18
RCHGF000105	2346	2075.05	7458	75.5037
RCHGF000106	753	482.084	45890	1999.73
RCHGF000107	195	37.1392	19695	11140.4
RCHGF000108	195	37.1392	2172	1228.58
RCHGF000109	666	395.501	171	9.08288
RCHGF000110	1152	881.054	82	1.95518
RCHGF000111	1008	737.054	6950	198.089
RCHGF000112	996	725.054	113	3.27404
RCHGF000113	828	557.073	195	7.35356
RCHGF000114	798	527.079	76	3.0291
RCHGF000115	474	214.482	124	12.1452
RCHGF000116	417	167.399	94	11.7964
RCHGF000117	819	548.079	80	3.06635
RCHGF000118	2754	2483.05	700	5.92226
RCHGF000119	981	710.054	207	6.12427
RCHGF000121	474	214.482	144	14.1042
RCHGF000122	912	641.068	1118	36.6364
RCHGF000123	1251	980.054	2161	46.3212
RCHGF000124	492	230.297	1178	107.457
RCHGF000125	672	401.473	474	24.8026
RCHGF000126	375	135.977	121	18.6937
RCHGF000127	1632	1361.05	1552	23.9548
RCHGF000128	333	107.352	131	25.6352
RCHGF000129	1206	935.054	360	8.088
RCHGF000130	1470	1199.05	722	12.6495
