-e target_id	length	eff_length	Monoculture_Bi_animalis_lactis_PT33_Late_Replicate_2_HGF2_counts	tpm
RCHGF000001	708	477.997	0	0
RCHGF000002	762	531.997	0	0
RCHGF000003	780	549.997	1	450.155
RCHGF000004	882	651.997	0	0
RCHGF000005	903	672.997	0	0
RCHGF000006	1215	984.997	0	0
RCHGF000007	855	624.997	0	0
RCHGF000008	561	332.208	0	0
RCHGF000009	522	294.235	0	0
RCHGF000010	447	224.085	0	0
RCHGF000011	714	483.997	0	0
RCHGF000012	1449	1219	1	203.105
RCHGF000013	144	19.9697	0	0
RCHGF000014	639	408.997	0	0
RCHGF000015	480	253.575	0	0
RCHGF000016	744	513.997	0	0
RCHGF000017	849	618.997	0	0
RCHGF000018	387	167.015	0	0
RCHGF000020	519	291.235	0	0
RCHGF000021	156	23.3939	0	0
RCHGF000022	918	687.997	0	0
RCHGF000023	1470	1240	0	0
RCHGF000024	948	717.997	1	344.826
RCHGF000025	2820	2590	0	0
RCHGF000026	528	300.235	0	0
RCHGF000027	480	253.575	0	0
RCHGF000028	747	516.997	0	0
RCHGF000029	852	621.997	0	0
RCHGF000030	852	621.997	0	0
RCHGF000031	2136	1906	0	0
RCHGF000032	114	10.7857	0	0
RCHGF000033	1155	924.997	0	0
RCHGF000034	2412	2182	0	0
RCHGF000035	642	411.997	0	0
RCHGF000036	945	714.997	0	0
RCHGF000037	399	177.322	0	0
RCHGF000038	1875	1645	0	0
RCHGF000039	699	468.997	0	0
RCHGF000040	2544	2314	2	213.988
RCHGF000041	1098	867.997	1	285.236
RCHGF000042	2586	2356	2	210.173
RCHGF000043	3450	3220	5	384.447
RCHGF000044	390	169.734	0	0
RCHGF000045	834	603.997	2	819.819
RCHGF000046	816	585.997	0	0
RCHGF000047	1971	1741	4	568.833
RCHGF000048	813	582.997	2	849.349
RCHGF000049	1026	795.997	0	0
RCHGF000050	1857	1627	0	0
RCHGF000051	1692	1462	0	0
RCHGF000052	126	13.7667	0	0
RCHGF000053	165	25.9535	0	0
RCHGF000054	135	15.84	0	0
RCHGF000055	447	224.085	0	0
RCHGF000056	126	13.7667	0	0
RCHGF000057	408	185.729	0	0
RCHGF000058	639	408.997	0	0
RCHGF000059	933	702.997	0	0
RCHGF000060	675	444.997	0	0
RCHGF000061	744	513.997	1	481.684
RCHGF000062	1182	951.997	0	0
RCHGF000063	1974	1744	0	0
RCHGF000064	1479	1249	0	0
RCHGF000065	900	669.997	0	0
RCHGF000066	687	456.997	1	541.763
RCHGF000067	1395	1165	0	0
RCHGF000068	894	663.997	0	0
RCHGF000069	687	456.997	0	0
RCHGF000070	873	642.997	0	0
RCHGF000071	363	145.59	0	0
RCHGF000072	117	11.1111	0	0
RCHGF000073	861	630.997	0	0
RCHGF000074	732	501.997	0	0
RCHGF000075	207	43.1533	0	0
RCHGF000076	276	78.2515	2	6327.9
RCHGF000077	288	86.6016	0	0
RCHGF000078	1566	1336	0	0
RCHGF000079	288	86.6016	0	0
RCHGF000080	459	234.59	0	0
RCHGF000081	450	226.717	0	0
RCHGF000082	411	188.424	0	0
RCHGF000083	369	150.598	0	0
RCHGF000084	1497	1267	0	0
RCHGF000085	726	495.997	0	0
RCHGF000086	585	356.208	0	0
RCHGF000087	1785	1555	0	0
RCHGF000088	1746	1516	0	0
RCHGF000089	615	385.613	0	0
RCHGF000090	354	137.07	0	0
RCHGF000091	1878	1648	0	0
RCHGF000092	1446	1216	0	0
RCHGF000093	513	285.235	1	868.001
RCHGF000094	672	441.997	0	0
RCHGF000095	1434	1204	0	0
RCHGF000096	987	756.997	0	0
RCHGF000097	1050	819.997	0	0
RCHGF000098	1203	972.997	0	0
RCHGF000099	1329	1099	0	0
RCHGF000100	207	43.1533	0	0
RCHGF000101	765	534.997	0	0
RCHGF000102	1164	933.997	0	0
RCHGF000103	1707	1477	1	167.627
RCHGF000104	1047	816.997	0	0
RCHGF000105	2346	2116	1	117.006
RCHGF000106	753	522.997	0	0
RCHGF000107	195	38.7235	0	0
RCHGF000108	195	38.7235	0	0
RCHGF000109	666	435.997	0	0
RCHGF000110	1152	921.997	0	0
RCHGF000111	1008	777.997	0	0
RCHGF000112	996	765.997	0	0
RCHGF000113	828	597.997	0	0
RCHGF000114	798	567.997	0	0
RCHGF000115	474	248.795	0	0
RCHGF000116	417	194.424	0	0
RCHGF000117	819	588.997	0	0
RCHGF000118	2754	2524	0	0
RCHGF000119	981	750.997	0	0
RCHGF000121	474	248.795	0	0
RCHGF000122	912	681.997	0	0
RCHGF000123	1251	1021	0	0
RCHGF000124	492	265.575	0	0
RCHGF000125	672	441.997	0	0
RCHGF000126	375	155.827	0	0
RCHGF000127	1632	1402	0	0
RCHGF000128	333	118.24	0	0
RCHGF000129	1206	975.997	0	0
RCHGF000130	1470	1240	0	0
RCHGF000131	987	756.997	0	0
RCHGF000132	900	669.997	0	0
RCHGF000133	657	426.997	0	0
RCHGF000134	2331	2101	0	0
RCHGF000135	1776	1546	0	0
RCHGF000136	120	12.95	0	0
RCHGF000137	597	368.208	0	0
RCHGF000138	1125	894.997	0	0
RCHGF000139	978	747.997	0	0
RCHGF000140	489	262.575	0	0
RCHGF000141	1188	957.997	0	0
RCHGF000142	135	15.84	0	0
RCHGF000143	174	30.0455	0	0
RCHGF000144	735	504.997	0	0
RCHGF000145	702	471.997	0	0
RCHGF000146	777	546.997	0	0
RCHGF000147	243	59.2392	0	0
RCHGF000148	399	177.322	7	9773.69
RCHGF000149	750	519.997	0	0
RCHGF000151	2724	2494	0	0
RCHGF000152	729	498.997	0	0
RCHGF000153	444	221.085	0	0
RCHGF000154	765	534.997	0	0
RCHGF000155	1194	963.997	0	0
RCHGF000156	909	678.997	0	0
RCHGF000157	744	513.997	0	0
RCHGF000158	555	326.732	0	0
RCHGF000159	1041	810.997	0	0
RCHGF000160	927	696.997	0	0
RCHGF000161	1488	1258	0	0
RCHGF000162	1671	1441	0	0
RCHGF000163	1053	822.997	0	0
RCHGF000165	1038	807.997	0	0
RCHGF000166	2400	2170	0	0
RCHGF000167	120	12.95	0	0
RCHGF000168	873	642.997	1	385.047
RCHGF000169	1836	1606	2	308.324
RCHGF000170	552	323.732	0	0
RCHGF000171	1230	999.997	0	0
RCHGF000172	558	329.208	0	0
RCHGF000173	468	243.59	0	0
RCHGF000174	150	22.3797	0	0
RCHGF000175	1656	1426	0	0
RCHGF000176	873	642.997	0	0
RCHGF000177	390	169.734	0	0
RCHGF000178	876	645.997	2	766.518
RCHGF000179	996	765.997	1	323.218
RCHGF000180	120	12.95	0	0
RCHGF000181	813	582.997	0	0
RCHGF000182	786	555.997	0	0
RCHGF000183	1230	999.997	0	0
RCHGF000184	447	224.085	0	0
RCHGF000185	1398	1168	0	0
RCHGF000186	525	297.235	2	1665.92
RCHGF000187	741	510.997	0	0
RCHGF000188	456	231.971	0	0
RCHGF000189	1380	1150	0	0
RCHGF000190	1140	909.997	0	0
RCHGF000191	1401	1171	0	0
RCHGF000192	624	393.997	0	0
RCHGF000193	1539	1309	0	0
RCHGF000194	1209	978.997	0	0
RCHGF000195	897	666.997	0	0
RCHGF000196	1458	1228	0	0
RCHGF000197	969	738.997	0	0
RCHGF000198	1287	1057	0	0
RCHGF000199	1242	1012	0	0
RCHGF000200	1446	1216	1	203.606
RCHGF000201	1185	954.997	0	0
RCHGF000202	162	24.5702	0	0
RCHGF000203	582	353.208	0	0
RCHGF000204	1209	978.997	0	0
RCHGF000205	720	489.997	0	0
RCHGF000206	1503	1273	0	0
RCHGF000207	1101	870.997	0	0
RCHGF000208	1332	1102	0	0
RCHGF000209	2175	1945	0	0
RCHGF000210	1710	1480	0	0
RCHGF000212	1578	1348	0	0
RCHGF000213	1425	1195	0	0
RCHGF000214	315	106.342	0	0
