-e target_id	length	eff_length	Monoculture_Clostridium_HGF2_Early_Replicate_3_HGF2_counts	tpm
RCHGF000001	708	455.8	1076	37.5597
RCHGF000002	762	509.663	1678	52.3832
RCHGF000003	780	527.632	2447	73.7881
RCHGF000004	882	629.562	2612	66.0113
RCHGF000005	903	650.562	902	22.0598
RCHGF000006	1215	962.542	882	14.5792
RCHGF000007	855	602.562	1177	31.0784
RCHGF000008	561	311.718	479	24.4488
RCHGF000009	522	274.922	346	20.024
RCHGF000010	447	207.585	594	45.5275
RCHGF000011	714	461.79	363	12.5068
RCHGF000012	1449	1196.54	1415	18.8153
RCHGF000013	144	21.1656	117	87.9507
RCHGF000014	639	387.455	177	7.26835
RCHGF000015	480	236.557	58	3.90101
RCHGF000016	744	491.744	79	2.55607
RCHGF000017	849	596.592	144	3.84033
RCHGF000018	387	158.593	25	2.50807
RCHGF000020	519	272.138	222	12.9792
RCHGF000021	156	25.0854	106	67.2308
RCHGF000022	918	665.562	3068	73.3416
RCHGF000023	1470	1217.54	2602	34.0022
RCHGF000024	948	695.542	2825	64.6217
RCHGF000025	2820	2567.54	5612	34.7763
RCHGF000026	528	280.538	134	7.5997
RCHGF000027	480	236.557	152	10.2233
RCHGF000028	747	494.724	267	8.58682
RCHGF000029	852	599.574	3657	97.0433
RCHGF000030	852	599.574	7779	206.426
RCHGF000031	2136	1883.54	2956	24.9697
RCHGF000032	114	15.9916	54	53.7261
RCHGF000033	1155	902.542	855	15.0724
RCHGF000034	2412	2159.54	7541	55.5586
RCHGF000035	642	390.393	105	4.27928
RCHGF000036	945	692.542	5315	122.107
RCHGF000037	399	168.216	1213	114.73
RCHGF000038	1875	1622.54	1475	14.4637
RCHGF000039	699	446.818	778	27.7034
RCHGF000040	2544	2291.54	15590	108.244
RCHGF000041	1098	845.542	4308	81.0633
RCHGF000042	2586	2333.54	8118	55.3499
RCHGF000043	3450	3197.54	72062	358.57
RCHGF000044	390	160.976	2824	279.119
RCHGF000045	834	581.61	14424	394.582
RCHGF000046	816	563.616	1345	37.9684
RCHGF000047	1971	1718.54	24607	227.815
RCHGF000048	813	560.616	28603	811.764
RCHGF000049	1026	773.542	1752	36.0358
RCHGF000050	1857	1604.54	2550	25.2856
RCHGF000051	1692	1439.54	6202	68.5474
RCHGF000052	126	17.6381	22	19.8451
RCHGF000053	165	28.0033	29	16.4768
RCHGF000054	135	19.0072	8951	7492.67
RCHGF000055	447	207.585	593	45.4508
RCHGF000056	126	17.6381	14	12.6287
RCHGF000057	408	175.23	665	60.3806
RCHGF000058	639	387.455	1104	45.3348
RCHGF000059	933	680.542	903	21.1114
RCHGF000060	675	422.949	419	15.7619
RCHGF000061	744	491.744	154	4.98271
RCHGF000062	1182	929.542	2714	46.4541
RCHGF000063	1974	1721.54	4876	45.064
RCHGF000064	1479	1226.54	1419	18.407
RCHGF000065	900	647.562	2367	58.1568
RCHGF000066	687	434.902	1369	50.0837
RCHGF000067	1395	1142.54	1835	25.5533
RCHGF000068	894	641.562	1159	28.7427
