-e target_id	length	eff_length	Monoculture_Bi_animalis_lactis_PT33_Late_Replicate_3_HGF2_counts	tpm
RCHGF000001	708	467.56	0	0
RCHGF000002	762	521.56	0	0
RCHGF000003	780	539.56	2	1116.99
RCHGF000004	882	641.56	0	0
RCHGF000005	903	662.56	0	0
RCHGF000006	1215	974.56	0	0
RCHGF000007	855	614.56	0	0
RCHGF000008	561	322.722	0	0
RCHGF000009	522	286.981	1	1050.04
RCHGF000010	447	215.03	0	0
RCHGF000011	714	473.56	0	0
RCHGF000012	1449	1208.56	0	0
RCHGF000013	144	15.2826	0	0
RCHGF000014	639	398.56	0	0
RCHGF000015	480	245.545	0	0
RCHGF000016	744	503.56	0	0
RCHGF000017	849	608.56	0	0
RCHGF000018	387	160.467	0	0
RCHGF000020	519	283.981	0	0
RCHGF000021	156	20.6515	0	0
RCHGF000022	918	677.56	0	0
RCHGF000023	1470	1229.56	0	0
RCHGF000024	948	707.56	0	0
RCHGF000025	2820	2579.56	2	233.638
RCHGF000026	528	292.981	0	0
RCHGF000027	480	245.545	0	0
RCHGF000028	747	506.56	0	0
RCHGF000029	852	611.56	1	492.742
RCHGF000030	852	611.56	0	0
RCHGF000031	2136	1895.56	0	0
RCHGF000032	114	17.25	0	0
RCHGF000033	1155	914.56	0	0
RCHGF000034	2412	2171.56	0	0
RCHGF000035	642	401.56	0	0
RCHGF000036	945	704.56	0	0
RCHGF000037	399	172.091	0	0
RCHGF000038	1875	1634.56	0	0
RCHGF000039	699	458.56	0	0
RCHGF000040	2544	2303.56	4	523.262
RCHGF000041	1098	857.56	0	0
RCHGF000042	2586	2345.56	0	0
RCHGF000043	3450	3209.56	2	187.777
RCHGF000044	390	163.467	0	0
RCHGF000045	834	593.56	0	0
RCHGF000046	816	575.56	0	0
RCHGF000047	1971	1730.56	1	174.129
RCHGF000048	813	572.56	2	1052.61
RCHGF000049	1026	785.56	0	0
RCHGF000050	1857	1616.56	0	0
RCHGF000051	1692	1451.56	1	207.598
RCHGF000052	126	12.1875	0	0
RCHGF000053	165	24.8148	0	0
RCHGF000054	135	13.3103	1	22639.6
RCHGF000055	447	215.03	0	0
RCHGF000056	126	12.1875	0	0
RCHGF000057	408	179.925	0	0
RCHGF000058	639	398.56	0	0
RCHGF000059	933	692.56	1	435.112
RCHGF000060	675	434.56	0	0
RCHGF000061	744	503.56	0	0
RCHGF000062	1182	941.56	0	0
RCHGF000063	1974	1733.56	1	173.828
RCHGF000064	1479	1238.56	0	0
RCHGF000065	900	659.56	2	913.764
RCHGF000066	687	446.56	1	674.806
RCHGF000067	1395	1154.56	0	0
RCHGF000068	894	653.56	0	0
RCHGF000069	687	446.56	0	0
RCHGF000070	873	632.56	0	0
RCHGF000071	363	139.549	0	0
