-e target_id	length	eff_length	Monoculture_Clostridium_HGF2_Early_Replicate_1_HGF2_counts	tpm
RCHGF000001	708	471.594	1314	52.498
RCHGF000002	762	525.49	1613	57.8343
RCHGF000003	780	543.49	2524	87.5011
RCHGF000004	882	645.425	2236	65.2742
RCHGF000005	903	666.418	1412	39.9212
RCHGF000006	1215	978.418	955	18.3905
RCHGF000007	855	618.439	1720	52.4019
RCHGF000008	561	325.835	548	31.6883
RCHGF000009	522	287.695	739	48.398
RCHGF000010	447	215.781	498	43.4841
RCHGF000011	714	477.584	439	17.3193
RCHGF000012	1449	1212.42	2145	33.3342
RCHGF000013	144	17.8109	95	100.497
RCHGF000014	639	402.9	262	12.2524
RCHGF000015	480	247.113	101	7.70091
RCHGF000016	744	507.512	201	7.46217
RCHGF000017	849	612.439	294	9.04482
RCHGF000018	387	161.082	33	3.85996
RCHGF000020	519	284.788	307	20.311
RCHGF000021	156	21.0612	77	68.8848
RCHGF000022	918	681.418	3373	93.2649
RCHGF000023	1470	1233.42	3516	53.7099
RCHGF000024	948	711.418	4525	119.842
RCHGF000025	2820	2583.42	7659	55.859
RCHGF000026	528	293.52	176	11.2977
RCHGF000027	480	247.113	236	17.9942
RCHGF000028	747	510.512	407	15.0212
RCHGF000029	852	615.439	4195	128.429
RCHGF000030	852	615.439	3075	94.1403
RCHGF000031	2136	1899.42	3739	37.0895
RCHGF000032	114	11.0875	107	181.829
RCHGF000033	1155	918.418	892	18.2995
RCHGF000034	2412	2175.42	11168	96.7271
RCHGF000035	642	405.86	128	5.94223
RCHGF000036	945	708.418	6831	181.681
RCHGF000037	399	171.8	2298	252.024
RCHGF000038	1875	1638.42	1918	22.0566
RCHGF000039	699	462.625	1274	51.8867
RCHGF000040	2544	2307.42	14052	114.743
RCHGF000041	1098	861.418	4695	102.692
RCHGF000042	2586	2349.42	11534	92.4986
RCHGF000043	3450	3213.42	68229	400.053
RCHGF000044	390	163.733	2102	241.887
RCHGF000045	834	597.439	17129	540.199
RCHGF000046	816	579.446	2690	87.4692
