-e target_id	length	eff_length	Coculture_PT33_HGF2_Early_Replicate_2_HGF2_counts	tpm
RCHGF000001	708	447.705	1	9.9335
RCHGF000002	762	501.122	5	44.3731
RCHGF000003	780	518.405	3	25.7363
RCHGF000004	882	619.759	6	43.0549
RCHGF000005	903	640.759	1	6.94063
RCHGF000006	1215	952.759	11	51.3456
RCHGF000007	855	592.759	0	0
RCHGF000008	561	305.204	1	14.5715
RCHGF000009	522	267.386	2	33.2648
RCHGF000010	447	200.615	1	22.1682
RCHGF000011	714	453.385	3	29.4271
RCHGF000012	1449	1186.76	7	26.2319
RCHGF000013	144	16.4854	0	0
RCHGF000014	639	379.984	0	0
RCHGF000015	480	228.791	2	38.8764
RCHGF000016	744	483.385	3	27.6008
RCHGF000017	849	586.811	1	7.57871
RCHGF000018	387	150.216	0	0
RCHGF000020	519	264.649	2	33.6088
RCHGF000021	156	19.2295	1	231.273
RCHGF000022	918	655.759	13	88.1643
RCHGF000023	1470	1207.76	12	44.187
RCHGF000024	948	685.759	9	58.3667
RCHGF000025	2820	2557.76	38	66.072
RCHGF000026	528	273.144	7	113.973
RCHGF000027	480	228.791	0	0
RCHGF000028	747	486.385	0	0
RCHGF000029	852	589.811	22	165.884
RCHGF000030	852	589.811	16	120.643
RCHGF000031	2136	1873.76	11	26.1079
RCHGF000032	114	9.04545	0	0
RCHGF000033	1155	892.759	4	19.926
RCHGF000034	2412	2149.76	40	82.7492
RCHGF000035	642	382.984	4	46.4487
RCHGF000036	945	682.759	35	227.979
RCHGF000037	399	159.782	5	139.167
RCHGF000038	1875	1612.76	8	22.0604
RCHGF000039	699	438.862	5	50.6682
RCHGF000040	2544	2281.76	18	35.083
RCHGF000041	1098	835.759	1	5.32124
RCHGF000042	2586	2323.76	7	13.3968
RCHGF000043	3450	3187.76	43	59.9897
RCHGF000044	390	152.677	3	87.3858
RCHGF000045	834	572.066	3	23.3222
RCHGF000046	816	554.066	0	0
RCHGF000047	1971	1708.76	645	1678.7
RCHGF000048	813	551.066	1378	11120.9
RCHGF000049	1026	763.759	15	87.3431
RCHGF000050	1857	1594.76	19	52.9849
RCHGF000051	1692	1429.76	17	52.8786
RCHGF000052	126	11.8259	5	1880.31
RCHGF000053	165	22.0434	0	0
RCHGF000054	135	14.8799	12	3586.54
RCHGF000055	447	200.615	6	133.009
RCHGF000056	126	11.8259	0	0
RCHGF000057	408	167.236	2	53.1856
RCHGF000058	639	379.984	7	81.927
RCHGF000059	933	670.759	1	6.63021
RCHGF000060	675	415.014	3	32.1479
RCHGF000061	744	483.385	11	101.203
RCHGF000062	1182	919.759	14	67.6936
RCHGF000063	1974	1711.76	21	54.5595
RCHGF000064	1479	1216.76	5	18.2751
RCHGF000065	900	637.759	16	111.573
RCHGF000066	687	426.939	3	31.2499
RCHGF000067	1395	1132.76	15	58.8908
RCHGF000068	894	631.759	9	63.3556
RCHGF000069	687	426.939	4	41.6666
RCHGF000070	873	610.759	17	123.786
RCHGF000071	363	131.467	1	33.828
RCHGF000072	117	10.0455	0	0
RCHGF000073	861	598.759	5	37.1374
RCHGF000074	732	471.385	4	37.7379
RCHGF000075	207	36.8344	4	482.948
RCHGF000076	276	70.8419	29	1820.55
RCHGF000077	288	77.762	21	1201.01
RCHGF000078	1566	1303.76	19	64.8112
RCHGF000079	288	77.762	4	228.763
RCHGF000080	459	210.604	4	84.4672
RCHGF000081	450	203.331	1	21.872
RCHGF000082	411	169.717	3	78.612
RCHGF000083	369	136.247	0	0
RCHGF000084	1497	1234.76	3	10.8052
RCHGF000085	726	465.385	1	9.55612
RCHGF000086	585	328.045	0	0
RCHGF000087	1785	1522.76	5	14.6027
RCHGF000088	1746	1483.76	4	11.9892
RCHGF000089	615	356.771	0	0
RCHGF000090	354	124.2	2	71.6144
RCHGF000091	1878	1615.76	8	22.0195
RCHGF000092	1446	1183.76	52	195.359
RCHGF000093	513	258.887	59	1013.53
RCHGF000094	672	412.014	6	64.764
RCHGF000095	1434	1171.76	7	26.5677
RCHGF000096	987	724.759	3	18.4086
RCHGF000097	1050	787.759	3	16.9364
RCHGF000098	1203	940.759	4	18.9093
RCHGF000099	1329	1066.76	1	4.16896
RCHGF000100	207	36.8344	0	0
RCHGF000101	765	503.811	1	8.82726
RCHGF000102	1164	901.759	2	9.86355
RCHGF000103	1707	1444.76	60	184.693
RCHGF000104	1047	784.759	8	45.3364
RCHGF000105	2346	2083.76	9	19.2083
RCHGF000106	753	492.385	11	99.3532
RCHGF000107	195	32.8107	13	1762.07
RCHGF000108	195	32.8107	0	0
RCHGF000109	666	406.378	0	0
RCHGF000110	1152	889.759	1	4.99829
RCHGF000111	1008	745.759	32	190.829
RCHGF000112	996	733.759	10	60.6095
RCHGF000113	828	566.066	0	0
RCHGF000114	798	536.405	2	16.5818
RCHGF000115	474	223.081	4	79.7426
RCHGF000116	417	174.679	1	25.4597
RCHGF000117	819	557.066	3	23.9502
RCHGF000118	2754	2491.76	6	10.7088
RCHGF000119	981	718.759	12	74.2492
RCHGF000121	474	223.081	0	0
RCHGF000122	912	649.759	2	13.689
RCHGF000123	1251	988.759	5	22.4892
RCHGF000124	492	239.572	9	167.071
RCHGF000125	672	412.014	2	21.588
RCHGF000126	375	140.834	0	0
RCHGF000127	1632	1369.76	6	19.4805
RCHGF000128	333	108.521	0	0
RCHGF000129	1206	943.759	0	0
RCHGF000130	1470	1207.76	2	7.3645
RCHGF000131	987	724.759	0	0
RCHGF000132	900	637.759	3	20.9198
RCHGF000133	657	397.984	5	55.8726
RCHGF000134	2331	2068.76	9	19.3476
RCHGF000135	1776	1513.76	21	61.6959
RCHGF000136	120	10.2585	0	0
RCHGF000137	597	339.3	0	0
RCHGF000138	1125	862.759	28	144.332
RCHGF000139	978	715.759	1	6.21337
RCHGF000140	489	236.744	6	112.711
RCHGF000141	1188	925.759	9	43.2353
RCHGF000142	135	14.8799	0	0
RCHGF000143	174	24.6289	0	0
RCHGF000144	735	474.385	1	9.37482
RCHGF000145	702	441.862	0	0
RCHGF000146	777	515.405	0	0
RCHGF000147	243	52.9904	1	83.9261
RCHGF000148	399	159.782	98	2727.67
RCHGF000149	750	489.385	6	54.5248
RCHGF000151	2724	2461.76	4	7.22617
RCHGF000152	729	468.385	0	0
RCHGF000153	444	197.895	1	22.4729
RCHGF000154	765	503.811	0	0
RCHGF000155	1194	931.759	5	23.8649
RCHGF000156	909	646.759	0	0
RCHGF000157	744	483.385	0	0
RCHGF000158	555	299.285	0	0
RCHGF000159	1041	778.759	0	0
RCHGF000160	927	664.759	0	0
RCHGF000161	1488	1225.76	5	18.1409
RCHGF000162	1671	1408.76	4	12.6275
RCHGF000163	1053	790.759	4	22.4962
RCHGF000165	1038	775.759	11	63.0608
RCHGF000166	2400	2137.76	20	41.6069
RCHGF000167	120	10.2585	0	0
RCHGF000168	873	610.759	75	546.116
RCHGF000169	1836	1573.76	85	240.201
RCHGF000170	552	296.365	16	240.097
RCHGF000171	1230	967.759	6	27.5726
RCHGF000172	558	302.204	2	29.4322
RCHGF000173	468	218.034	6	122.383
RCHGF000174	150	17.5247	5	1268.86
RCHGF000175	1656	1393.76	32	102.107
RCHGF000176	873	610.759	6	43.6893
RCHGF000177	390	152.677	45	1310.79
RCHGF000178	876	613.759	172	1246.31
RCHGF000179	996	733.759	43	260.621
RCHGF000180	120	10.2585	0	0
RCHGF000181	813	551.066	2	16.1406
RCHGF000182	786	524.405	2	16.9612
RCHGF000183	1230	967.759	6	27.5726
RCHGF000184	447	200.615	0	0
RCHGF000185	1398	1135.76	13	50.9039
RCHGF000186	525	270.144	12	197.551
RCHGF000187	741	480.385	6	55.5464
RCHGF000188	456	208.05	7	149.632
RCHGF000189	1380	1117.76	17	67.6386
RCHGF000190	1140	877.759	34	172.265
RCHGF000191	1401	1138.76	45	175.742
RCHGF000192	624	365.353	3	36.5176
RCHGF000193	1539	1276.76	7	24.3828
RCHGF000194	1209	946.759	8	37.5789
RCHGF000195	897	634.759	2	14.0125
RCHGF000196	1458	1195.76	4	14.8768
RCHGF000197	969	706.759	4	25.17
RCHGF000198	1287	1024.76	3	13.0195
RCHGF000199	1242	979.759	7	31.774
RCHGF000200	1446	1183.76	12	45.0829
RCHGF000201	1185	922.759	3	14.4586
RCHGF000202	162	21.3549	0	0
RCHGF000203	582	325.045	206	2818.5
RCHGF000204	1209	946.759	222	1042.82
RCHGF000205	720	459.385	55	532.451
RCHGF000206	1503	1240.76	189	677.436
RCHGF000207	1101	838.759	30	159.066
RCHGF000208	1332	1069.76	33	137.19
RCHGF000209	2175	1912.76	51	118.578
RCHGF000210	1710	1447.76	61	187.382
RCHGF000212	1578	1315.76	30	101.4
RCHGF000213	1425	1162.76	22	84.1447
RCHGF000214	315	96.5208	1	46.0758
RCHGF000215	435	190.341	3	70.0944
RCHGF000216	723	462.385	6	57.7087
