-e target_id	length	eff_length	Monoculture_Clostridium_HGF2_Late_Replicate_1_HGF2_counts	tpm
RCHGF000001	708	478.474	1188	41.7741
RCHGF000002	762	532.42	1390	43.9248
RCHGF000003	780	550.392	1808	55.2682
RCHGF000004	882	652.369	1531	39.4849
RCHGF000005	903	673.362	540	13.4926
RCHGF000006	1215	985.348	631	10.7743
RCHGF000007	855	625.375	907	24.4015
RCHGF000008	561	332.397	299	15.1343
RCHGF000009	522	294.176	418	23.9066
RCHGF000010	447	222.063	220	16.6684
RCHGF000011	714	484.464	239	8.30014
RCHGF000012	1449	1219.35	1078	14.8744
RCHGF000013	144	21.0608	28	22.3682
RCHGF000014	639	409.695	57	2.3408
RCHGF000015	480	253.457	33	2.19058
RCHGF000016	744	514.42	45	1.47178
RCHGF000017	849	619.375	89	2.41761
RCHGF000018	387	167.284	19	1.91095
RCHGF000020	519	291.244	102	5.89241
RCHGF000021	156	24.6254	132	90.1862
RCHGF000022	918	688.355	8920	218.023
RCHGF000023	1470	1240.35	2563	34.766
RCHGF000024	948	718.348	4428	103.71
RCHGF000025	2820	2590.35	7727	50.1883
RCHGF000026	528	299.997	245	13.7404
RCHGF000027	480	253.457	134	8.89507
RCHGF000028	747	517.42	280	9.10468
RCHGF000029	852	622.375	3416	92.3454
RCHGF000030	852	622.375	3730	100.834
RCHGF000031	2136	1906.35	3961	34.9584
RCHGF000032	114	12.3999	44	59.7012
RCHGF000033	1155	925.348	653	11.8729
RCHGF000034	2412	2182.35	29343	226.219
RCHGF000035	642	412.666	99	4.03632
RCHGF000036	945	715.348	3297	77.5445
RCHGF000037	399	177.922	922	87.1866
RCHGF000038	1875	1645.35	842	8.61001
RCHGF000039	699	469.502	425	15.23
RCHGF000040	2544	2314.35	9248	67.2308
RCHGF000041	1098	868.348	942	18.2518
RCHGF000042	2586	2356.35	2599	18.5574
RCHGF000043	3450	3220.35	12656	66.1216
RCHGF000044	390	169.975	329	32.5656
RCHGF000045	834	604.381	2342	65.1967
RCHGF000046	816	586.387	317	9.09545
RCHGF000047	1971	1741.35	18746	181.122
RCHGF000048	813	583.387	41899	1208.36
RCHGF000049	1026	796.348	1494	31.5644
RCHGF000050	1857	1627.35	1871	19.3438
RCHGF000051	1692	1462.35	2479	28.5217
RCHGF000052	126	15.9663	9	9.48394
RCHGF000053	165	27.3361	11	6.77026
RCHGF000054	135	18.3487	5974	5477.84
RCHGF000055	447	222.063	318	24.0935
