-e target_id	length	eff_length	Coculture_PT33_HGF2_Late_Replicate_2_HGF2_counts	tpm
RCHGF000001	708	475.695	0	0
RCHGF000002	762	529.249	0	0
RCHGF000003	780	547.145	4	92.163
RCHGF000004	882	649.037	10	194.236
RCHGF000005	903	669.972	1	18.8167
RCHGF000006	1215	981.972	0	0
RCHGF000007	855	622.037	0	0
RCHGF000008	561	331.283	0	0
RCHGF000009	522	293.486	0	0
RCHGF000010	447	222.459	0	0
RCHGF000011	714	481.695	1	26.1714
RCHGF000012	1449	1215.97	2	20.7351
RCHGF000013	144	19.8275	0	0
RCHGF000014	639	407.071	0	0
RCHGF000015	480	253.455	0	0
RCHGF000016	744	511.349	0	0
RCHGF000017	849	616.037	4	81.8564
RCHGF000018	387	169.13	0	0
RCHGF000020	519	290.514	0	0
RCHGF000021	156	23.9251	2	1053.84
RCHGF000022	918	684.972	1	18.4046
RCHGF000023	1470	1236.97	1	10.1915
RCHGF000024	948	714.972	0	0
RCHGF000025	2820	2586.97	4	19.4925
RCHGF000026	528	299.339	0	0
RCHGF000027	480	253.455	1	49.7391
RCHGF000028	747	514.299	0	0
RCHGF000029	852	619.037	11	224.014
RCHGF000030	852	619.037	6	122.19
RCHGF000031	2136	1902.97	3	19.8741
RCHGF000032	114	11.8429	0	0
RCHGF000033	1155	921.972	0	0
RCHGF000034	2412	2178.97	11	63.6415
RCHGF000035	642	410.031	1	30.7455
RCHGF000036	945	711.972	8	141.653
RCHGF000037	399	178.881	1	70.4751
RCHGF000038	1875	1641.97	2	15.3555
RCHGF000039	699	466.695	4	108.05
RCHGF000040	2544	2310.97	21	114.558
RCHGF000041	1098	864.972	1	14.5746
RCHGF000042	2586	2352.97	3	16.0733
RCHGF000043	3450	3216.97	24	94.051
RCHGF000044	390	171.654	1	73.442
RCHGF000045	834	601.037	2	41.9496
RCHGF000046	816	583.037	1	21.6224
RCHGF000047	1971	1737.97	196	1421.72
RCHGF000048	813	580.037	495	10758.4
RCHGF000049	1026	792.972	7	111.286
RCHGF000050	1857	1623.97	5	38.8142
RCHGF000051	1692	1458.97	14	120.971
RCHGF000052	126	14.5266	0	0
RCHGF000053	165	26.8171	0	0
RCHGF000054	135	16.6083	2	1518.11
RCHGF000055	447	222.459	0	0
RCHGF000056	126	14.5266	0	0
RCHGF000057	408	186.727	0	0
RCHGF000058	639	407.071	1	30.9691
RCHGF000059	933	699.972	1	18.0102
RCHGF000060	675	442.739	0	0
RCHGF000061	744	511.349	2	49.3073
RCHGF000062	1182	948.972	2	26.569
RCHGF000063	1974	1740.97	1	7.24115
RCHGF000064	1479	1245.97	1	10.1179
RCHGF000065	900	666.972	7	132.309
RCHGF000066	687	454.695	1	27.7255
RCHGF000067	1395	1161.97	2	21.6987
RCHGF000068	894	661.037	5	95.355
RCHGF000069	687	454.695	0	0
RCHGF000070	873	640.037	5	98.4837
RCHGF000071	363	148.832	0	0
RCHGF000072	117	12.5899	0	0
RCHGF000073	861	628.037	0	0
RCHGF000074	732	499.646	2	50.4623
RCHGF000075	207	44.573	0	0
RCHGF000076	276	83.2917	9	1362.2
RCHGF000077	288	91.4858	17	2342.58
RCHGF000078	1566	1332.97	7	66.2028
RCHGF000079	288	91.4858	0	0
RCHGF000080	459	233.662	0	0
RCHGF000081	450	225.258	0	0
RCHGF000082	411	189.478	0	0
RCHGF000083	369	153.506	0	0
RCHGF000084	1497	1263.97	2	19.9477
RCHGF000085	726	493.695	0	0
RCHGF000086	585	355.048	0	0
RCHGF000087	1785	1551.97	2	16.246
RCHGF000088	1746	1512.97	0	0
RCHGF000089	615	383.263	0	0
RCHGF000090	354	141.487	0	0
RCHGF000091	1878	1644.97	2	15.3275
RCHGF000092	1446	1212.97	17	176.684
RCHGF000093	513	284.855	26	1150.67
RCHGF000094	672	439.739	0	0
RCHGF000095	1434	1200.97	0	0
RCHGF000096	987	753.972	0	0
RCHGF000097	1050	816.972	0	0
RCHGF000098	1203	969.972	0	0
RCHGF000099	1329	1095.97	0	0
RCHGF000100	207	44.573	0	0
RCHGF000101	765	532.145	0	0
RCHGF000102	1164	930.972	1	13.5414
RCHGF000103	1707	1473.97	14	119.74
RCHGF000104	1047	813.972	2	30.9756
RCHGF000105	2346	2112.97	2	11.9326
RCHGF000106	753	520.299	0	0
RCHGF000107	195	38.7363	2	650.895
RCHGF000108	195	38.7363	0	0
RCHGF000109	666	433.825	0	0
RCHGF000110	1152	918.972	0	0
RCHGF000111	1008	774.972	5	81.3361
RCHGF000112	996	762.972	0	0
RCHGF000113	828	595.037	0	0
RCHGF000114	798	565.037	0	0
RCHGF000115	474	247.754	1	50.8836
RCHGF000116	417	195.087	2	129.241
RCHGF000117	819	586.037	0	0
RCHGF000118	2754	2520.97	1	5.00071
RCHGF000119	981	747.972	3	50.5633
RCHGF000121	474	247.754	0	0
RCHGF000122	912	678.972	0	0
RCHGF000123	1251	1017.97	4	49.5363
RCHGF000124	492	265.022	1	47.5683
RCHGF000125	672	439.739	1	28.6685
RCHGF000126	375	158.507	0	0
RCHGF000127	1632	1398.97	1	9.01136
RCHGF000128	333	124.713	0	0
RCHGF000129	1206	972.972	0	0
RCHGF000130	1470	1236.97	4	40.7661
RCHGF000131	987	753.972	2	33.4406
RCHGF000132	900	666.972	0	0
RCHGF000133	657	424.991	1	29.6633
RCHGF000134	2331	2097.97	3	18.0269
RCHGF000135	1776	1542.97	3	24.5111
RCHGF000136	120	13.2402	0	0
RCHGF000137	597	366.414	0	0
RCHGF000138	1125	891.972	4	56.5338
RCHGF000139	978	744.972	2	33.8446
RCHGF000140	489	262.022	7	336.791
RCHGF000141	1188	954.972	2	26.4021
RCHGF000142	135	16.6083	0	0
RCHGF000143	174	30.1392	0	0
RCHGF000144	735	502.646	0	0
RCHGF000145	702	469.695	2	53.6802
RCHGF000146	777	544.145	0	0
RCHGF000147	243	63.343	0	0
RCHGF000148	399	178.881	36	2537.1
RCHGF000149	750	517.299	6	146.221
RCHGF000151	2724	2490.97	5	25.3047
RCHGF000152	729	496.695	0	0
RCHGF000153	444	220.014	0	0
RCHGF000154	765	532.145	0	0
RCHGF000155	1194	960.972	0	0
RCHGF000156	909	675.972	0	0
RCHGF000157	744	511.349	0	0
RCHGF000158	555	325.347	0	0
RCHGF000159	1041	807.972	0	0
RCHGF000160	927	693.972	0	0
RCHGF000161	1488	1254.97	2	20.0907
RCHGF000162	1671	1437.97	1	8.76696
RCHGF000163	1053	819.972	0	0
RCHGF000165	1038	804.972	0	0
RCHGF000166	2400	2166.97	6	34.9058
RCHGF000167	120	13.2402	0	0
RCHGF000168	873	640.037	24	472.722
RCHGF000169	1836	1602.97	32	251.665
RCHGF000170	552	322.411	7	273.708
RCHGF000171	1230	996.972	5	63.2246
RCHGF000172	558	328.283	1	38.4018
RCHGF000173	468	242.096	0	0
RCHGF000174	150	22.0117	2	1145.45
RCHGF000175	1656	1422.97	23	203.766
RCHGF000176	873	640.037	0	0
RCHGF000177	390	171.654	26	1909.49
RCHGF000178	876	643.037	53	1039.06
RCHGF000179	996	762.972	13	214.8
RCHGF000180	120	13.2402	0	0
RCHGF000181	813	580.037	4	86.9368
RCHGF000182	786	553.092	2	45.5861
RCHGF000183	1230	996.972	1	12.6449
RCHGF000184	447	222.459	1	56.6694
