-e target_id	length	eff_length	Coculture_PT33_HGF2_Early_Replicate_1_HGF2_counts	tpm
RCHGF000001	708	458.971	5	63.7809
RCHGF000002	762	512.84	4	45.6651
RCHGF000003	780	530.792	2	22.0603
RCHGF000004	882	632.282	7	64.8176
RCHGF000005	903	653.039	6	53.7921
RCHGF000006	1215	964.973	3	18.2017
RCHGF000007	855	605.282	3	29.0181
RCHGF000008	561	313.833	5	93.2778
RCHGF000009	522	276.657	2	42.3247
RCHGF000010	447	208.282	3	84.3287
RCHGF000011	714	464.884	3	37.7818
RCHGF000012	1449	1198.97	10	48.8311
RCHGF000013	144	18.7588	0	0
RCHGF000014	639	390.666	0	0
RCHGF000015	480	237.686	1	24.6321
RCHGF000016	744	494.84	0	0
RCHGF000017	849	599.282	0	0
RCHGF000018	387	157.158	0	0
RCHGF000020	519	273.709	0	0
RCHGF000021	156	22.0633	0	0
RCHGF000022	918	668.039	16	140.225
RCHGF000023	1470	1219.97	4	19.1962
RCHGF000024	948	698.039	23	192.91
RCHGF000025	2820	2569.97	24	54.675
RCHGF000026	528	282.151	2	41.5006
RCHGF000027	480	237.686	3	73.8964
RCHGF000028	747	497.84	0	0
RCHGF000029	852	602.282	35	340.231
RCHGF000030	852	602.282	5	48.6045
RCHGF000031	2136	1885.97	12	37.2522
RCHGF000032	114	13.4695	0	0
RCHGF000033	1155	904.973	5	32.3475
RCHGF000034	2412	2161.97	29	78.5333
RCHGF000035	642	393.666	0	0
RCHGF000036	945	695.039	14	117.93
RCHGF000037	399	166.843	0	0
RCHGF000038	1875	1624.97	1	3.60296
RCHGF000039	699	449.971	6	78.0679
RCHGF000040	2544	2293.97	18	45.9399
RCHGF000041	1098	847.973	5	34.5218
RCHGF000042	2586	2335.97	6	15.038
RCHGF000043	3450	3199.97	33	60.3773
RCHGF000044	390	159.493	0	0
RCHGF000045	834	584.282	2	20.0407
RCHGF000046	816	566.282	1	10.3389
RCHGF000047	1971	1720.97	485	1649.96
RCHGF000048	813	563.282	1061	11028
RCHGF000049	1026	775.973	4	30.18
RCHGF000050	1857	1606.97	34	123.873
RCHGF000051	1692	1441.97	13	52.7828
RCHGF000052	126	14.7652	0	0
RCHGF000053	165	24.993	0	0
RCHGF000054	135	17.0838	7	2398.94
RCHGF000055	447	208.282	1	28.1096
RCHGF000056	126	14.7652	0	0
RCHGF000057	408	173.899	1	33.6673
RCHGF000058	639	390.666	3	44.9596
RCHGF000059	933	683.039	3	25.7147
RCHGF000060	675	426.054	2	27.4835
RCHGF000061	744	494.84	1	11.8315
RCHGF000062	1182	931.973	9	56.5386
RCHGF000063	1974	1723.97	17	57.7331
RCHGF000064	1479	1228.97	2	9.52782
RCHGF000065	900	650.039	15	135.101
RCHGF000066	687	438.054	8	106.922
RCHGF000067	1395	1144.97	6	30.6805
RCHGF000068	894	644.282	4	36.3488
RCHGF000069	687	438.054	0	0
RCHGF000070	873	623.282	10	93.9337
RCHGF000071	363	138.744	0	0
RCHGF000072	117	13.6716	0	0
RCHGF000073	861	611.282	1	9.57777
RCHGF000074	732	482.84	5	60.6279
RCHGF000075	207	41.1068	3	427.281
RCHGF000076	276	77.6186	17	1282.3
RCHGF000077	288	84.3125	31	2152.66
RCHGF000078	1566	1315.97	12	53.3876
RCHGF000079	288	84.3125	2	138.881
RCHGF000080	459	218.903	1	26.7457
RCHGF000081	450	211.16	1	27.7265
RCHGF000082	411	176.497	2	66.3435
RCHGF000083	369	143.121	5	204.538
RCHGF000084	1497	1246.97	2	9.39029
RCHGF000085	726	476.84	3	36.8345
RCHGF000086	585	337.436	1	17.3506
RCHGF000087	1785	1534.97	3	11.4426
RCHGF000088	1746	1495.97	2	7.82731
RCHGF000089	615	366.913	4	63.8268
RCHGF000090	354	131.803	6	266.521
RCHGF000091	1878	1627.97	5	17.9816
RCHGF000092	1446	1195.97	56	274.14
RCHGF000093	513	268.069	50	1092.02
RCHGF000094	672	423.054	1	13.8392
RCHGF000095	1434	1183.97	4	19.7799
RCHGF000096	987	736.973	2	15.8886
RCHGF000097	1050	799.973	2	14.6373
RCHGF000098	1203	952.973	0	0
RCHGF000099	1329	1078.97	3	16.2786
RCHGF000100	207	41.1068	0	0
RCHGF000101	765	515.792	5	56.7547
RCHGF000102	1164	913.973	3	19.2174
RCHGF000103	1707	1456.97	33	132.608
RCHGF000104	1047	796.973	6	44.0772
RCHGF000105	2346	2095.97	8	22.3465
RCHGF000106	753	503.84	8	92.9615
RCHGF000107	195	35.9031	5	815.351
RCHGF000108	195	35.9031	0	0
RCHGF000109	666	417.054	0	0
RCHGF000110	1152	901.973	4	25.9641
RCHGF000111	1008	757.973	33	254.898
RCHGF000112	996	745.973	0	0
RCHGF000113	828	578.282	1	10.1243
RCHGF000114	798	548.386	0	0
RCHGF000115	474	232.071	0	0
RCHGF000116	417	181.538	1	32.2507
RCHGF000117	819	569.282	4	41.1376
RCHGF000118	2754	2503.97	5	11.6909
RCHGF000119	981	730.973	2	16.019
RCHGF000121	474	232.071	0	0
RCHGF000122	912	662.039	1	8.84346
RCHGF000123	1251	1000.97	6	35.0942
RCHGF000124	492	248.596	17	400.37
RCHGF000125	672	423.054	1	13.8392
RCHGF000126	375	147.888	0	0
RCHGF000127	1632	1381.97	2	8.47299
RCHGF000128	333	115.509	0	0
RCHGF000129	1206	955.973	1	6.12436
RCHGF000130	1470	1219.97	1	4.79906
RCHGF000131	987	736.973	3	23.8328
RCHGF000132	900	650.039	2	18.0134
RCHGF000133	657	408.404	1	14.3356
RCHGF000134	2331	2080.97	16	45.0152
RCHGF000135	1776	1525.97	15	57.5507
RCHGF000136	120	13.8024	0	0
RCHGF000137	597	349.047	2	33.5468
RCHGF000138	1125	874.973	17	113.752
RCHGF000139	978	727.973	6	48.255
RCHGF000140	489	245.643	13	309.845
RCHGF000141	1188	937.973	8	49.9351
RCHGF000142	135	17.0838	0	0
RCHGF000143	174	27.9217	2	419.366
RCHGF000144	735	485.84	0	0
RCHGF000145	702	452.971	4	51.7006
RCHGF000146	777	527.792	0	0
RCHGF000147	243	58.7007	3	299.215
RCHGF000148	399	166.843	83	2912.57
RCHGF000149	750	500.84	2	23.3796
RCHGF000151	2724	2473.97	7	16.5657
